1;1;23;
2;23;7;
3;7;6;
4;6;5;
5;5;4;
6;4;31;
7;31;3;
8;3;35;
9;35;41;
10;41;16;
11;1;32;
12;32;43;
13;43;42;
14;42;3;
15;3;2;
16;32;28;
17;28;8;
18;28;21;
19;28;9;
20;8;21;
21;21;9;
22;9;34;
23;34;10;
24;10;35;
25;35;20;
26;20;24;
27;24;25;
28;25;26;
29;26;22;
30;22;27;
31;27;29;
32;29;33;
33;33;30;
34;30;18;
35;11;40;
36;40;41;
37;41;36;
38;9;11;
39;11;13;
40;13;12;
41;12;39;
42;39;38;
43;38;37;
44;37;14;
45;14;15;
46;15;16;
47;16;17;
48;17;18;
49;18;19;
50;19;36;
51;36;20;
52;43;34;
53;34;40;
54;40;14;
55;42;10;
56;15;41;
57;41;17;
58;2;20;
59;2;24;
60;36;24;
61;19;33;
62;23;33;
63;7;42;
64;31;24;
65;4;25;
66;5;26;
67;6;22;
68;7;27;
69;23;29;
70;36;33;
71;8;38;
72;21;11;
73;11;12;
74;10;40;
75;39;14;
